Id,Hazard
6,4.3
7,10.8
8,7.4
9,2.8
10,2.3
11,6.7
13,5.7
14,4.8
16,4.0
17,4.8
18,10.8
20,6.1
27,4.5
28,4.8
29,2.9
30,3.9
34,4.2
35,5.5
36,4.5
37,2.7
38,5.8
40,3.1
42,6.9
46,6.1
47,3.2
48,3.7
49,6.4
51,5.2
52,10.4
53,1.5
54,3.0
55,2.9
56,4.9
57,3.8
60,5.7
61,5.0
64,6.8
65,8.7
66,5.3
68,4.8
70,2.8
71,3.0
75,3.5
76,8.2
78,5.6
80,3.6
81,4.3
82,3.0
83,4.7
85,2.4
86,3.5
87,4.0
89,4.1
90,4.7
91,4.4
92,5.7
95,2.9
97,7.3
99,3.9
101,3.2
102,4.8
103,3.8
104,6.4
107,8.8
108,3.9
111,3.8
112,8.8
115,4.5
119,8.6
121,6.7
124,5.1
128,6.7
130,6.4
131,5.1
133,11.3
134,5.9
137,6.1
138,6.6
142,4.5
143,5.2
144,12.8
145,5.2
147,3.0
148,2.5
152,5.0
154,14.9
158,2.2
159,5.0
160,7.1
161,4.2
164,3.5
165,6.9
166,2.5
167,3.1
169,5.8
170,7.6
171,7.2
175,3.6
177,6.6
178,6.3
180,8.7
182,3.9
184,16.2
185,5.6
186,10.4
190,3.2
191,6.8
192,2.1
195,3.4
196,4.5
197,3.3
198,6.1
199,8.3
200,6.7
204,5.6
205,4.9
207,2.6
208,5.1
209,7.9
211,7.0
216,6.9
217,2.0
220,3.0
223,5.0
224,2.6
230,4.4
232,4.7
235,3.8
236,6.6
238,3.4
240,1.9
242,4.1
244,6.7
245,3.7
248,4.2
251,5.1
256,6.6
258,2.7
259,3.6
261,4.4
267,5.0
268,3.6
270,7.4
272,10.5
273,4.9
275,4.1
276,3.4
277,4.9
279,5.7
283,5.5
284,5.4
286,2.2
287,5.5
288,3.0
289,8.3
292,7.1
293,5.4
295,5.3
297,5.9
301,4.2
303,3.1
304,5.6
305,3.0
308,5.0
309,3.9
313,5.0
314,6.5
315,6.7
316,5.4
318,6.1
320,3.9
324,3.9
325,2.4
326,2.4
327,5.4
328,6.7
332,5.7
333,7.1
336,3.8
339,3.7
340,8.4
342,7.1
344,6.7
345,4.1
346,4.4
349,6.0
353,6.5
355,3.7
360,3.8
363,5.6
366,3.1
367,5.3
369,6.0
371,3.9
372,2.6
374,4.5
375,3.8
378,4.1
379,2.7
381,3.2
382,3.0
384,2.9
385,4.3
387,3.2
388,4.6
389,7.3
390,6.5
393,6.4
394,9.3
395,4.5
397,2.7
398,4.2
399,4.2
403,6.1
404,3.2
406,1.9
407,3.0
410,4.9
411,6.3
412,1.4
413,7.4
417,3.0
419,5.3
422,5.8
425,5.1
426,4.2
427,7.2
432,5.4
434,3.8
437,4.8
438,8.1
440,6.3
441,5.1
443,6.2
445,6.2
447,2.9
449,2.0
450,2.7
451,1.6
453,6.9
455,2.5
456,6.4
459,4.0
461,3.2
463,4.7
466,7.4
467,2.8
469,2.5
470,5.2
472,4.9
477,4.3
481,4.1
485,7.2
492,4.4
494,3.1
497,4.5
503,2.2
504,5.6
507,4.9
509,2.6
511,8.4
512,3.7
513,1.9
516,4.9
517,2.8
518,3.9
522,5.1
525,5.4
526,2.0
527,8.0
529,4.0
534,6.3
538,2.2
540,8.7
541,2.2
542,2.9
543,15.0
544,6.5
546,4.4
547,4.0
550,5.2
554,3.8
556,3.9
558,4.7
559,4.7
560,5.9
564,3.4
565,3.0
566,6.7
567,7.8
568,3.9
570,2.8
571,5.3
575,3.5
576,3.3
585,4.6
586,4.8
589,3.2
590,7.1
591,7.0
593,4.0
594,2.0
595,2.2
596,4.5
597,5.0
598,2.4
599,5.3
600,2.9
601,4.5
609,3.0
613,3.9
619,7.4
620,2.7
621,4.7
622,4.3
623,3.6
625,3.5
626,3.1
628,3.2
629,7.8
633,3.3
634,6.5
635,9.8
636,3.7
637,5.0
638,3.3
639,2.6
640,3.9
643,4.6
645,5.4
646,5.7
647,3.5
649,3.2
650,5.3
654,5.4
656,2.6
657,3.9
661,5.9
